lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.50598,15.04605,12.56825,21.49027,15.0702,12.73468,21.49302,15.08505,12.79301,21.58802,15.17834,12.89343,64,22,1
21.49844,14.98423,12.40289,21.48179,15.0032,12.58048,21.4843,15.01692,12.64328,21.57946,15.11146,12.74769,65,22,2
21.07651,14.65629,12.34393,21.06438,14.69138,12.52947,21.06987,14.71107,12.59474,21.17035,14.80922,12.70075,66,23,0
21.08284,14.70387,12.44376,21.07155,14.74274,12.6227,21.07738,14.76407,12.68678,21.17855,14.86708,12.8003,67,23,1
21.07293,14.62848,12.283,21.06042,14.66207,12.47446,21.06593,14.68225,12.54312,21.16713,14.78567,12.65899,68,23,2
21.4987,14.96591,12.34168,21.47521,14.97802,12.52312,21.47253,14.98788,12.58841,21.56221,15.08158,12.70162,69,24,0
21.49891,14.96768,12.34691,21.47564,14.98154,12.53183,21.47299,14.99162,12.59718,21.56247,15.08375,12.70659,70,24,1
21.49423,14.92685,12.22206,21.47026,14.93622,12.41583,21.4674,14.94506,12.48466,21.55689,15.03737,12.59658,71,24,2
21.50905,14.93915,12.22299,21.47808,14.94226,12.41515,21.46931,14.94619,12.48319,21.54928,15.0308,12.59412,72,25,0
21.51282,14.9723,12.32623,21.48251,14.97974,12.51228,21.47397,14.98515,12.57806,21.55406,15.07056,12.68849,73,25,1
21.50839,14.93329,12.20398,21.47736,14.93603,12.39841,21.46857,14.93991,12.46738,21.54858,15.02487,12.57959,74,25,2
21.57982,14.9953,12.21915,21.54914,14.99632,12.41049,21.54055,14.99961,12.47846,21.61844,15.08248,12.58966,75,26,0
21.58646,15.05376,12.40669,21.55682,15.06168,12.58556,21.54853,15.06673,12.64764,21.62634,15.14856,12.75204,76,26,1
21.5816,15.01123,12.27273,21.55119,15.01411,12.46009,21.54265,15.01766,12.5257,21.62043,15.09944,12.63288,77,26,2
21.49193,14.93477,12.2564,21.45613,14.93568,12.44498,21.44274,14.93627,12.51069,21.51129,15.01105,12.61738,78,27,0
21.4922,14.93715,12.26377,21.45717,14.94447,12.46745,21.44419,14.94827,12.5394,21.51324,15.02716,12.65466,79,27,1
21.48837,14.90297,12.15409,21.45248,14.90431,12.3621,21.43916,14.90587,12.43571,21.50799,14.98329,12.55128,80,27,2
21.4985,14.91257,12.16397,21.45834,14.9101,12.37019,21.44129,14.90856,12.44304,21.50262,14.97986,12.55745,81,28,0
21.50294,14.95215,12.29023,21.46341,14.95348,12.48346,21.44658,14.95317,12.55149,21.50802,15.02487,12.66249,82,28,1
21.49896,14.91676,12.17786,21.45863,14.91266,12.37709,21.44149,14.9103,12.4474,21.50271,14.98063,12.5593,83,28,2
21.57226,14.98141,12.19977,21.53309,14.97633,12.39679,21.51681,14.9739,12.46641,21.57747,15.04322,12.57749,84,29,0
21.57943,15.04479,12.40305,21.54152,15.04815,12.58705,21.52565,15.04812,12.65021,21.5863,15.11676,12.75287,85,29,1
21.5747,15.00335,12.2734,21.5359,15.00079,12.46417,21.51971,14.99876,12.53025,21.58022,15.06663,12.63529,86,29,2
21.34429,14.81041,12.24705,21.29314,14.80535,12.4395,21.26464,14.79673,12.50559,21.29103,14.84028,12.60854,87,30,0
21.34759,14.83839,12.32271,21.29652,14.83272,12.50067,21.26805,14.82381,12.56189,21.2946,14.86816,12.66322,88,30,1
21.34241,14.79417,12.20142,21.29048,14.78323,12.3885,21.26164,14.77228,12.4533,21.28782,14.8146,12.55684,89,30,2
21.30086,14.7588,12.19132,21.24761,14.74804,12.37933,21.21868,14.73757,12.44445,21.2534,14.78692,12.54891,90,31,0
21.30377,14.78371,12.25911,21.2513,14.77833,12.44708,21.22271,14.76998,12.51177,21.25769,14.82091,12.61578,91,31,1
21.29912,14.74359,12.14843,21.24577,14.73269,12.34399,21.21681,14.72221,12.41171,21.25148,14.77143,12.51768,92,31,2
21.31073,14.7522,12.13949,21.25747,14.74072,12.33489,21.22873,14.73012,12.40257,21.26655,14.7816,12.50893,93,32,0
21.31561,14.79439,12.25761,21.26349,14.79048,12.44884,21.23527,14.78309,12.515,21.27359,14.83781,12.62202,94,32,1
21.31096,14.75417,12.1452,21.25789,14.74422,12.34316,21.22925,14.73442,12.41194,21.26723,14.7871,12.52029,95,32,2
21.06659,14.55091,12.10383,21.01036,14.54741,12.30726,20.97861,14.53907,12.37772,21.01208,14.59146,12.48739,96,33,0
21.07378,14.61007,12.24382,21.01851,14.61092,12.43074,20.98716,14.60413,12.4951,21.02096,14.65771,12.60055,97,33,1
21.06743,14.55801,12.12125,21.01101,14.55262,12.31766,20.97916,14.54337,12.38566,21.01252,14.59485,12.49329,98,33,2
20.87811,14.4059,12.08424,20.81811,14.40537,12.28525,20.78308,14.39712,12.35476,20.81278,14.44874,12.46382,99,34,0
20.88395,14.4522,12.18233,20.82494,14.45626,12.374,20.79036,14.4499,12.44016,20.82044,14.50306,12.54696,100,34,1
