"","taz_sub","lowInc_0_autos.x","lowInc_autos_lt_workers.x","lowInc_autos_ge_workers.x","medInc_0_autos.x","medInc_autos_lt_workers.x","medInc_autos_ge_workers.x","highInc_0_autos.x","highInc_autos_lt_workers.x","highInc_autos_ge_workers.x","veryHighInc_0_autos.x","veryHighInc_autos_lt_workers.x","veryHighInc_autos_ge_workers.x","destChoiceAlt.x","taz.x","subzone.x","lowInc_0_autos_t.x","lowInc_autos_lt_workers_t.x","lowInc_autos_ge_workers_t.x","medInc_0_autos_t.x","medInc_autos_lt_workers_t.x","medInc_autos_ge_workers_t.x","highInc_0_autos_t.x","highInc_autos_lt_workers_t.x","highInc_autos_ge_workers_t.x","veryHighInc_0_autos_t.x","veryHighInc_autos_lt_workers_t.x","veryHighInc_autos_ge_workers_t.x","mwt.x","subzone_s.x","lowInc_0_autos.y","lowInc_autos_lt_workers.y","lowInc_autos_ge_workers.y","medInc_0_autos.y","medInc_autos_lt_workers.y","medInc_autos_ge_workers.y","highInc_0_autos.y","highInc_autos_lt_workers.y","highInc_autos_ge_workers.y","veryHighInc_0_autos.y","veryHighInc_autos_lt_workers.y","veryHighInc_autos_ge_workers.y","destChoiceAlt.y","taz.y","subzone.y","lowInc_0_autos_t.y","lowInc_autos_lt_workers_t.y","lowInc_autos_ge_workers_t.y","medInc_0_autos_t.y","medInc_autos_lt_workers_t.y","medInc_autos_ge_workers_t.y","highInc_0_autos_t.y","highInc_autos_lt_workers_t.y","highInc_autos_ge_workers_t.y","veryHighInc_0_autos_t.y","veryHighInc_autos_lt_workers_t.y","veryHighInc_autos_ge_workers_t.y","mwt.y","subzone_s.y","mdiff"
"391","1118a",18.09279,12.31754,11.10861,18.09516,12.5402,11.42385,18.09598,12.6293,11.54482,18.08932,12.74439,11.69738,3352,1118,1,221.823134328358,133.412686567164,296.680597014925,219.061194029851,137.589552238806,289.129850746269,216.75223880597,141.228358208955,284.355970149254,213.092537313433,146.80671641791,278.062686567164,271.477805970149,"a",18.30571,12.47658,11.19546,18.31189,12.67059,11.48124,18.31185,12.74412,11.58686,18.30341,12.84887,11.73198,3352,1118,1,219.226119402985,129.551492537313,276.671641791045,217.003731343283,133.340298507463,274.826865671642,214.776119402985,134.901492537314,272.948507462687,208.684328358209,136.228358208955,270.80223880597,259.651955970149,"a",4.97980970149246
"392","1118b",18.08282,12.27678,11.07964,18.08019,12.49102,11.39208,18.07871,12.57732,11.51233,18.06841,12.68867,11.66387,3353,1118,2,221.079104477612,130.370895522388,294.518656716418,217.944029850746,133.919402985075,286.758955223881,215.463432835821,137.349253731343,281.931343283582,211.532089552239,142.648507462687,275.561940298507,269.149088059701,"b",18.29414,12.42649,11.1572,18.2957,12.61238,11.4408,18.29365,12.68332,11.54599,18.28161,12.7838,11.69004,3353,1118,2,218.362686567164,125.813432835821,273.816417910448,215.79552238806,128.996268656716,271.808955223881,213.417910447761,130.364179104478,269.898507462686,207.057462686567,131.372388059701,267.672388059701,256.723105970149,"b",3.92395074626864
"393","1118c",18.17029,12.59853,11.31717,18.1958,12.83438,11.62504,18.20634,12.92574,11.74185,18.21532,13.04567,11.89108,3351,1118,0,227.606716417911,154.382089552239,312.244776119403,226.571641791045,159.543283582089,304.144029850746,224.988059701493,163.350746268657,299.059701492537,222.49552238806,169.290298507463,292.517910447761,286.093441044776,"c",18.29255,12.41943,11.15184,18.29429,12.60722,11.43724,18.29239,12.67899,11.54311,18.28045,12.78027,11.68779,3351,1118,0,218.244029850746,125.286567164179,273.416417910448,215.690298507463,128.611194029851,271.543283582089,213.323880597015,130.041044776119,269.683582089552,206.970895522388,131.108955223881,267.50447761194,256.471538059701,"c",4.76733955223887
"394","1119a",17.97665,12.30717,11.15238,17.97362,12.53846,11.46764,17.96981,12.63003,11.5888,17.9653,12.75033,11.74164,3355,1119,1,213.155970149254,132.638805970149,299.947014925373,209.991044776119,137.459701492537,292.39776119403,207.336567164179,141.282835820895,287.638059701493,203.837313432836,147.25,281.365671641791,273.426715671642,"a",18.17466,12.51241,11.28989,18.17609,12.72333,11.5777,18.17047,12.80146,11.68365,18.16583,12.91627,11.82973,3355,1119,1,209.446268656716,132.225373134328,283.718656716418,206.869402985074,137.276119402985,282.025373134328,204.225373134328,139.180597014925,280.171641791045,198.417164179104,141.258208955224,278.097014925373,265.069980597015,"a",5.51072835820884
"395","1119b",17.96359,12.25905,11.12006,17.95405,12.48133,11.43245,17.94717,12.56993,11.55291,17.938,12.6864,11.70474,3356,1119,2,212.181343283582,129.04776119403,297.535074626866,208.530597014925,133.196268656716,289.771641791045,205.647014925373,136.79776119403,284.959701492537,201.8,142.479104477612,278.611940298507,270.819737313433,"b",18.15612,12.44407,11.24085,18.1499,12.64493,11.52578,18.14081,12.71984,11.63115,18.13037,12.82971,11.77586,3356,1119,2,208.062686567164,127.125373134328,280.058955223881,204.914925373134,131.425373134328,278.150746268657,202.011940298507,133.089552238806,276.253731343284,195.770895522388,134.798507462687,274.076865671642,261.262553731343,"b",6.74195149253728
"396","1119c",17.95993,12.24526,11.11088,17.94887,12.46581,11.42303,17.94126,12.55387,11.54346,17.93096,12.66953,11.69516,3354,1119,0,211.908208955224,128.018656716418,296.85,208.144029850746,132.038059701492,289.068656716418,205.205970149254,135.599253731343,284.25447761194,201.274626865672,141.220149253731,277.897014925373,270.120408955224,"c",18.14392,12.39719,11.20776,18.13247,12.59037,11.49047,18.12099,12.66278,11.59537,18.1065,12.7688,11.73902,3354,1119,0,207.15223880597,123.626865671642,277.589552238806,203.614179104478,127.353731343284,275.515671641791,200.532835820895,128.831343283582,273.583582089552,193.989552238806,130.252985074627,271.327611940298,258.667825373134,"c",7.40625895522396
"397","111a",19.14132,13.60517,12.20148,19.16423,13.74839,12.42369,19.17793,13.80615,12.50824,19.2187,13.90139,12.62879,331,111,1,300.071641791045,229.50447761194,378.238059701493,298.842537313433,227.752985074627,363.744776119403,297.494776119403,229.052985074627,356.252985074627,297.374626865672,233.15,347.570895522388,347.174579850746,"a",19.22833,13.57603,12.19517,19.25547,13.69834,12.4058,19.27396,13.74732,12.48377,19.30996,13.82955,12.59545,331,111,1,288.078358208955,211.6,351.276865671642,287.420149253731,210.038059701493,343.823880597015,286.575373134328,209.767164179105,339.882089552239,283.8,209.413432835821,335.240298507463,328.873698507463,"a",6.94006567164183
"398","111b",19.0888,13.42822,12.04968,19.10436,13.57006,12.28319,19.1152,13.62759,12.37155,19.15168,13.72095,12.49438,332,111,2,296.15223880597,216.299253731343,366.909701492537,294.374626865672,214.444776119403,353.259701492537,292.813432835821,215.727611940298,346.05223880597,292.373134328358,219.684328358209,337.540298507463,337.073494029851,"b",19.18951,13.43036,12.07292,19.21356,13.55579,12.29683,19.23123,13.6065,12.37935,19.26505,13.68835,12.49394,332,111,2,285.181343283582,200.729104477612,342.153731343284,284.292537313433,199.4,335.691791044776,283.386567164179,199.258208955224,332.089552238806,280.448507462686,198.876119402985,327.664925373134,321.046623134328,"b",6.41680373134324
"399","111c",19.10042,13.46931,12.08459,19.11789,13.61226,12.31596,19.12944,13.66998,12.40348,19.16671,13.76324,12.52532,330,111,0,297.019402985075,219.365671641791,369.514925373134,295.384328358209,217.594029850746,355.705223880597,293.876119402985,218.891044776119,348.435074626866,293.494776119403,222.840298507463,339.849253731343,339.413747014925,"c",19.19895,13.46725,12.1036,19.22342,13.59064,12.32313,19.24111,13.64034,12.40409,19.27535,13.72198,12.51774,330,111,0,285.885820895522,203.482089552239,344.44328358209,285.028358208955,202.000746268657,337.65447761194,284.123880597015,201.783582089552,333.935820895522,281.217164179104,201.385820895522,329.441044776119,322.934973880597,"c",6.90827835820903
"400","1120a",17.66267,12.22872,11.17069,17.65776,12.4887,11.49073,17.65026,12.58975,11.61348,17.6574,12.72365,11.76779,3358,1120,1,189.724626865672,126.784328358209,301.313432835821,186.419402985075,133.746268656716,294.120895522388,183.489552238806,138.276865671642,289.479850746269,180.859701492537,145.258955223881,283.317164179104,272.507611940298,"a",17.83084,12.38184,11.2729,17.82025,12.6081,11.55976,17.80476,12.69079,11.66559,17.80317,12.81414,11.81103,3358,1120,1,183.788059701492,122.481343283582,282.450746268657,180.314179104478,128.676865671642,280.686567164179,176.933582089552,130.921641791045,278.823880597015,171.352985074627,133.636567164179,276.701492537313,260.993023880597,"a",6.44429477611942
"401","1120b",17.64391,12.17405,11.13744,17.62893,12.42425,11.45393,17.61649,12.52207,11.57571,17.6168,12.6521,11.72871,3359,1120,2,188.324626865672,122.70447761194,298.832089552239,184.267910447761,128.936567164179,291.374626865672,180.969402985075,133.226119402985,286.661194029851,177.829850746269,139.919402985075,280.400746268657,269.709434328358,"b",17.8074,12.31216,11.22839,17.78683,12.52975,11.5128,17.76656,12.6097,11.61816,17.75767,12.72903,11.7624,3359,1120,2,182.038805970149,117.281343283582,279.129104477612,177.820149253731,122.829850746269,277.182089552239,174.082835820895,124.870149253731,275.284328358209,167.957462686567,127.285074626866,273.072388059701,257.4584,"b",3.4708962686567
"402","1120c",17.64202,12.16843,11.13406,17.6247,12.41459,11.44851,17.61097,12.51079,11.56953,17.60947,12.63894,11.72166,3357,1120,0,188.183582089552,122.285074626866,298.579850746269,183.95223880597,128.215671641791,290.970149253731,180.557462686567,132.384328358209,286.2,177.282835820896,138.937313432836,279.874626865672,269.286994029851,"c",17.81377,12.33142,11.24058,17.79632,12.55235,11.5262,17.77756,12.6334,11.63185,17.77098,12.75429,11.77665,3357,1120,0,182.514179104478,118.718656716418,280.038805970149,178.528358208955,124.516417910448,278.182089552239,174.903731343284,126.638805970149,276.305970149254,168.950746268657,129.170149253731,274.135820895522,258.468970895522,"c",4.36576641791044
"403","1121a",18.43114,12.52683,11.23356,18.40774,12.71628,11.54101,18.39481,12.79302,11.65935,18.4152,12.9068,11.80936,3361,1121,1,247.073134328358,149.031343283582,306.005223880597,242.388059701493,150.729850746269,297.873134328358,239.052985074627,153.446268656716,292.902985074627,237.411940298507,158.926865671642,286.419402985075,281.938010447761,"a",18.50143,12.7255,11.41545,18.48844,12.91818,11.69993,18.47804,12.99013,11.80431,18.50662,13.10791,11.94923,3361,1121,1,233.832089552239,148.127611940299,293.088805970149,230.179104477612,151.817164179104,291.147014925373,227.178358208955,153.260447761194,289.176119402985,223.849253731343,155.559701492537,287.014925373134,275.909841044776,"a",4.35844552238802
"404","1121b",18.42322,12.49002,11.20505,18.3957,12.67096,11.50991,18.38077,12.7447,11.62757,18.39875,12.85517,11.77666,3362,1121,2,246.482089552239,146.284328358209,303.877611940298,241.489552238806,147.34776119403,295.55223880597,238.005223880597,149.840298507463,290.531343283582,236.184328358209,155.073880597015,283.979104477612,279.687002238806,"b",18.48472,12.65639,11.3612,18.46447,12.83732,11.64225,18.45078,12.90539,11.74589,18.47513,13.01837,11.88925,3362,1121,2,232.585074626866,142.970149253731,289.040298507463,228.390298507463,145.782835820896,286.842537313433,225.144029850746,146.936567164179,284.816417910448,221.499253731343,148.877611940299,282.538805970149,271.742035074627,"b",5.35937014925378
"405","1121c",18.42465,12.49677,11.21026,18.39878,12.68271,11.51793,18.38473,12.75848,11.63658,18.4038,12.87123,11.78677,3360,1121,0,246.588805970149,146.788059701493,304.266417910448,241.719402985075,148.224626865672,296.150746268657,238.300746268657,150.868656716418,291.203731343284,236.561194029851,156.272388059702,284.733582089552,280.278108955224,"c",18.4735,12.60786,11.32359,18.44812,12.77938,11.60176,18.43209,12.84432,11.70476,18.45341,12.9534,11.84685,3360,1121,0,231.74776119403,139.348507462687,286.233582089552,227.170149253731,141.458955223881,283.820895522388,223.749253731343,142.379104477612,281.747014925373,219.878358208955,144.029104477612,279.374626865672,268.812820895522,"c",6.06647985074619
"406","1122a",18.59742,12.54895,11.13379,18.58739,12.72978,11.45245,18.58315,12.80484,11.57515,18.60583,12.91457,11.72873,3364,1122,1,259.482089552239,150.682089552239,298.559701492537,255.794776119403,151.737313432836,291.264179104478,253.108208955224,154.328358208955,286.619402985075,251.638059701493,159.50671641791,280.40223880597,277.639619402985,"a",18.88103,12.76573,11.23857,18.87773,12.91556,11.52018,18.87514,12.9742,11.62442,18.89411,13.0701,11.76754,3364,1122,1,262.160447761194,151.129850746269,279.888805970149,259.230597014925,151.621641791045,277.732835820896,256.812686567164,152.071641791045,275.751492537313,252.766417910448,152.738059701493,273.455970149254,267.190169402985,"a",5.65369029850746
"407","1122b",18.59185,12.51909,11.10761,18.5787,12.69119,11.42304,18.57298,12.76311,11.54487,18.59378,12.86921,11.69726,3365,1122,2,259.066417910448,148.453731343284,296.605970149254,255.146268656717,148.857462686567,289.069402985075,252.349253731343,151.214179104477,284.359701492537,250.738805970149,156.121641791045,278.053731343284,275.545225373134,"b",18.87465,12.72908,11.20257,18.86856,12.87023,11.48126,18.86475,12.92584,11.58479,18.88194,13.01758,11.72655,3365,1122,2,261.684328358209,148.394776119403,277.20223880597,258.546268656716,148.238805970149,274.828358208955,256.037313432836,148.462686567164,272.794029850746,251.858208955224,148.818656716418,270.397014925373,264.457603731343,"b",6.61873731343286
"408","1122c",18.59455,12.53366,11.12037,18.58191,12.70558,11.43397,18.57638,12.77721,11.55506,18.5974,12.88298,11.70677,3363,1122,0,259.267910447761,149.541044776119,297.558208955224,255.385820895522,149.931343283582,289.885074626866,252.602985074627,152.266417910448,285.120149253731,251.008955223881,157.149253731343,278.763432835821,276.314310447761,"c",18.88605,12.79381,11.26617,18.88442,12.94764,11.54787,18.88251,13.00742,11.65184,18.90248,13.10502,11.79505,3363,1122,0,262.535074626866,153.225373134328,281.948507462687,259.729850746269,154.015671641791,279.799253731343,257.362686567164,154.550746268657,277.79776119403,253.391044776119,155.344029850746,275.508955223881,269.122696268657,"c",6.92366343283584
"409","1123a",18.06801,12.26431,11.07766,18.05308,12.48471,11.40431,18.04673,12.57447,11.53013,18.085,12.7027,11.68575,3367,1123,1,219.973880597015,129.440298507463,294.370895522388,215.920895522388,133.448507462687,287.671641791045,213.076865671642,137.136567164179,283.259701492537,212.770149253731,143.69552238806,277.194776119403,269.839213432836,"a",18.0449,12.38775,11.19709,18.02594,12.59962,11.49333,18.0064,12.67757,11.6024,18.00334,12.7955,11.74982,3367,1123,1,199.762686567164,122.922388059702,276.793283582089,195.664179104477,128.044029850746,275.729104477612,191.981343283582,129.935074626866,274.108208955224,186.29104477612,132.24552238806,272.133582089552,258.200305223881,"a",6.64123656716424
"410","1123b",18.06014,12.23131,11.0547,18.04094,12.4444,11.37917,18.03255,12.53167,11.5044,18.06853,12.65728,11.65921,3368,1123,2,219.386567164179,126.977611940299,292.657462686567,215.014925373134,130.440298507463,285.79552238806,212.018656716418,133.942537313433,281.339552238806,211.541044776119,140.305970149254,275.214179104478,267.98795,"b",18.02729,12.32327,11.15227,18.00055,12.52576,11.44632,17.97724,12.60062,11.55499,17.96852,12.71416,11.70123,3368,1123,2,198.448507462687,118.110447761194,273.448507462687,193.769402985075,122.532089552239,272.220895522388,189.805223880597,124.192537313433,270.570149253731,183.692537313433,126.175373134328,268.507462686567,254.728574626866,"b",-0.26837835820902
"411","1123c",18.0641,12.24799,11.06628,18.04754,12.46646,11.39288,18.04037,12.55543,11.51863,18.07781,12.68305,11.67421,3366,1123,0,219.682089552239,128.222388059702,293.521641791045,215.507462686567,132.086567164179,286.818656716418,212.60223880597,135.715671641791,282.401492537313,212.233582089552,142.229104477612,276.333582089552,268.995260447761,"c",18.02107,12.29976,11.13615,17.99223,12.50075,11.43068,17.96789,12.57515,11.5396,17.95762,12.68789,11.68588,3366,1123,0,197.984328358209,116.355970149254,272.24552238806,193.148507462686,120.665671641791,271.053731343284,189.107462686567,122.291791044776,269.421641791045,182.879104477612,124.214925373134,267.361940298507,253.573493283582,"c",1.35573656716423
"412","1124a",18.14418,12.21308,10.96901,18.14021,12.43063,11.3137,18.14081,12.52076,11.44567,18.11273,12.62781,11.60543,3370,1124,1,225.658208955224,125.617164179104,286.262686567164,222.423134328358,129.412686567164,280.909701492537,220.09776119403,133.128358208955,276.95671641791,214.839552238806,138.10671641791,271.200746268657,264.350637313433,"a",18.3024,12.35957,11.0543,18.25275,12.53589,11.36924,18.21495,12.6006,11.48465,18.16828,12.69652,11.63598,3370,1124,1,218.979104477612,120.819402985075,266.137313432836,212.590298507463,123.288059701493,266.468656716418,207.544776119403,124.191044776119,265.320895522388,198.6,124.858955223881,263.638059701493,251.655967164179,"a",1.79588955223886
"413","1124b",18.13908,12.18885,10.95113,18.13239,12.40081,11.29436,18.13171,12.48906,11.42597,18.10143,12.59336,11.58513,3371,1124,2,225.277611940298,123.808955223881,284.928358208955,221.839552238806,127.187313432836,279.466417910448,219.418656716418,130.762686567164,275.486567164179,213.996268656717,135.535820895522,269.685820895522,262.938893283582,"b",18.29495,12.32358,11.02609,18.24168,12.49321,11.34019,18.20201,12.55552,11.45551,18.15215,12.6478,11.60624,3371,1124,2,218.423134328358,118.133582089552,264.032089552239,211.764179104478,120.102985074627,264.300746268657,206.579104477612,120.826865671642,263.146268656716,197.396268656716,121.223134328358,261.418656716418,249.548020895522,"b",7.54184477611943
"414","1124c",18.14394,12.21194,10.96816,18.13976,12.42892,11.31258,18.14024,12.51881,11.44445,18.112,12.62561,11.60412,3369,1124,0,225.640298507463,125.532089552239,286.199253731343,222.389552238806,129.285074626866,280.826119402985,220.055223880597,132.982835820895,276.865671641791,214.785074626866,137.942537313433,271.102985074627,264.2681,"c",18.30869,12.38916,11.07767,18.26207,12.57084,11.39331,18.2258,12.63731,11.50871,18.1818,12.73618,11.6606,3369,1124,0,219.448507462686,123.027611940299,267.881343283582,213.285820895522,125.896268656716,268.264925373134,208.35447761194,126.930597014925,267.116417910448,199.608955223881,127.818656716418,265.475373134328,253.398876865672,"c",7.68772910447763
"415","1125a",17.57806,11.95674,10.93314,17.55341,12.20146,11.27016,17.53726,12.29845,11.39881,17.53541,12.42603,11.55584,3373,1125,1,183.410447761194,106.487313432836,283.585820895522,178.632089552239,112.310447761194,277.660447761194,175.05671641791,116.538059701493,273.459701492537,171.755970149254,123.048507462687,267.5,256.555405223881,"a",17.731,12.09751,11.0214,17.70016,12.31669,11.33291,17.67529,12.3979,11.44705,17.66208,12.5159,11.59679,3373,1125,1,176.337313432836,101.262686567164,263.682089552239,171.35223880597,106.929850746269,263.757462686567,167.271641791045,109.064179104478,262.514925373134,160.823880597015,111.379850746269,260.713432835821,244.506488059701,"a",7.8818701492537
"416","1125b",17.57806,11.95674,10.93314,17.55341,12.20146,11.27016,17.53726,12.29845,11.39881,17.53541,12.42603,11.55584,3374,1125,2,183.410447761194,106.487313432836,283.585820895522,178.632089552239,112.310447761194,277.660447761194,175.05671641791,116.538059701493,273.459701492537,171.755970149254,123.048507462687,267.5,256.555405223881,"b",17.731,12.09751,11.0214,17.70016,12.31669,11.33291,17.67529,12.3979,11.44705,17.66208,12.5159,11.59679,3374,1125,2,176.337313432836,101.262686567164,263.682089552239,171.35223880597,106.929850746269,263.757462686567,167.271641791045,109.064179104478,262.514925373134,160.823880597015,111.379850746269,260.713432835821,244.506488059701,"b",7.6247574626866
"417","1125c",17.57806,11.95674,10.93314,17.55341,12.20146,11.27016,17.53726,12.29845,11.39881,17.53541,12.42603,11.55584,3372,1125,0,183.410447761194,106.487313432836,283.585820895522,178.632089552239,112.310447761194,277.660447761194,175.05671641791,116.538059701493,273.459701492537,171.755970149254,123.048507462687,267.5,256.555405223881,"c",17.731,12.09751,11.0214,17.70016,12.31669,11.33291,17.67529,12.3979,11.44705,17.66208,12.5159,11.59679,3372,1125,0,176.337313432836,101.262686567164,263.682089552239,171.35223880597,106.929850746269,263.757462686567,167.271641791045,109.064179104478,262.514925373134,160.823880597015,111.379850746269,260.713432835821,244.506488059701,"c",7.79961567164185
"418","1126a",17.64471,12.00569,10.96644,17.61306,12.24407,11.29832,17.59188,12.33881,11.42602,17.58454,12.46466,11.58272,3376,1126,1,188.384328358209,110.140298507463,286.070895522388,183.083582089552,115.490298507463,279.761940298508,179.132835820896,119.55,275.490298507463,175.422388059702,125.931343283582,269.505970149254,259.003914179104,"a",17.79239,12.12407,11.03702,17.75379,12.33182,11.34012,17.72334,12.40869,11.45208,17.70158,12.52215,11.60017,3376,1126,1,180.918656716418,103.244776119403,264.84776119403,175.35447761194,108.058955223881,264.29552238806,170.857462686567,109.869402985075,262.890298507463,163.771641791045,111.846268656716,260.965671641791,245.445003731343,"a",7.10198432835824
"419","1126b",17.64471,12.00569,10.96644,17.61306,12.24407,11.29832,17.59188,12.33881,11.42602,17.58454,12.46466,11.58272,3377,1126,2,188.384328358209,110.140298507463,286.070895522388,183.083582089552,115.490298507463,279.761940298508,179.132835820896,119.55,275.490298507463,175.422388059702,125.931343283582,269.505970149254,259.003914179104,"b",17.7838,12.09263,11.01724,17.74144,12.29651,11.31996,17.70914,12.37221,11.43199,17.68446,12.48374,11.57975,3377,1126,2,180.277611940298,100.898507462687,263.371641791045,174.432835820896,105.423880597015,262.791044776119,169.79776119403,107.147014925373,261.391044776119,162.494029850746,108.979850746269,259.441791044776,243.932238059701,"b",17.2069679104478
"420","1126c",17.64471,12.00569,10.96644,17.61306,12.24407,11.29832,17.59188,12.33881,11.42602,17.58454,12.46466,11.58272,3375,1126,0,188.384328358209,110.140298507463,286.070895522388,183.083582089552,115.490298507463,279.761940298508,179.132835820896,119.55,275.490298507463,175.422388059702,125.931343283582,269.505970149254,259.003914179104,"c",17.79259,12.1248,11.03748,17.75491,12.33499,11.34194,17.72506,12.41304,11.4545,17.70407,12.52766,11.60313,3375,1126,0,180.933582089552,103.299253731343,264.882089552239,175.438059701492,108.29552238806,264.431343283582,170.985820895522,110.194029850746,263.070895522388,163.957462686567,112.257462686567,261.186567164179,245.591350746269,"c",15.0782179104477
"421","1127a",18.24169,12.33311,11.1049,18.18821,12.51651,11.4197,18.15334,12.58955,11.54092,18.15118,12.69987,11.69241,3379,1127,1,232.935074626866,134.574626865672,296.403731343284,226.005223880597,135.821641791045,288.820149253731,221.032835820896,138.261940298507,284.064925373134,217.708955223881,143.484328358209,277.691791044776,271.910963432836,"a",18.29156,12.49575,11.24815,18.23953,12.67744,11.53934,18.19918,12.74301,11.64641,18.18391,12.85115,11.7919,3379,1127,1,218.170149253731,130.982089552239,280.603731343284,211.603731343283,133.851492537314,279.162686567164,206.367910447761,134.818656716418,277.392537313433,199.766417910448,136.398507462687,275.273880597015,263.001905970149,"a",15.2167380597016
"422","1127b",18.23688,12.31078,11.08868,18.1806,12.48863,11.40197,18.14425,12.55964,11.52281,18.14025,12.66772,11.67375,3380,1127,2,232.576119402985,132.908208955224,295.19328358209,225.437313432836,133.741044776119,287.497014925373,220.35447761194,136.029850746269,282.713432835821,216.89328358209,141.085074626866,276.299253731343,270.612970895522,"b",18.27869,12.44174,11.20831,18.22057,12.61437,11.49778,18.17703,12.67674,11.60459,18.15725,12.78067,11.74912,3380,1127,2,217.209701492537,126.951492537313,277.630597014925,210.188805970149,129.144776119403,276.061194029851,204.714925373134,129.873134328358,274.271641791045,197.776865671642,131.138805970149,272.081343283582,259.963332835821,"b",18.5404753731344
"423","1127c",18.23642,12.30864,11.08713,18.1802,12.48713,11.40102,18.14394,12.55859,11.52218,18.14004,12.66707,11.67338,3378,1127,0,232.541791044776,132.748507462687,295.077611940298,225.407462686567,133.629104477612,287.426119402985,220.331343283582,135.951492537313,282.666417910448,216.877611940298,141.036567164179,276.271641791045,270.550276119403,"c",18.26089,12.36319,11.15138,18.19409,12.52132,11.43813,18.14594,12.57845,11.54446,18.11954,12.67528,11.68738,3378,1127,0,215.881343283582,121.089552238806,273.382089552239,208.212686567164,122.200746268657,271.609701492537,202.394776119403,122.538059701493,269.784328358209,194.962686567164,123.273880597015,267.473880597015,255.587790298507,"c",16.152952238806
"424","1128a",18.09466,12.32525,11.15369,18.06653,12.53701,11.46872,18.04879,12.6214,11.58966,18.05951,12.74132,11.74186,3382,1128,1,221.962686567164,133.988059701493,300.044776119403,216.924626865672,137.351492537313,292.478358208955,213.230597014925,140.638805970149,287.70223880597,210.867910447761,146.577611940299,281.382089552239,274.206130597015,"a",18.17728,12.50856,11.3068,18.15565,12.71176,11.59569,18.1376,12.78677,11.7018,18.15025,12.90518,11.84731,3382,1128,1,209.641791044776,131.938059701493,284.980597014925,205.344029850746,136.412686567164,283.367910447761,201.772388059701,138.084328358209,281.526119402985,197.25447761194,140.430597014925,279.408955223881,266.081686567164,"a",16.1444559701492
"425","1128b",18.08662,12.29265,11.13136,18.05397,12.49691,11.44401,18.03397,12.57867,11.5643,18.04182,12.69559,11.7156,3383,1128,2,221.362686567164,131.555223880597,298.378358208955,215.987313432836,134.358955223881,290.634328358209,212.124626865672,137.45,285.809701492537,209.54776119403,143.164925373134,279.422388059702,272.379187313433,"b",18.16117,12.44897,11.26488,18.13243,12.64309,11.55149,18.11099,12.71512,11.65716,18.11904,12.82957,11.80152,3383,1128,2,208.439552238806,127.491044776119,281.85223880597,203.611194029851,131.288059701493,280.069402985075,199.786567164179,132.737313432836,278.194776119403,194.925373134328,134.788059701493,275.991791044776,262.82627238806,"b",16.2327156716418
"426","1128c",18.0811,12.26984,11.11587,18.04504,12.4677,11.42624,18.02328,12.54708,11.54584,18.02886,12.66125,11.69622,3381,1128,0,220.950746268657,129.852985074627,297.222388059701,215.320895522388,132.179104477612,289.308208955224,211.326865671642,135.092537313433,284.432089552239,208.580597014926,140.60223880597,277.976119402985,271.059657462687,"c",18.15765,12.43557,11.25556,18.12677,12.62586,11.54058,18.10429,12.69654,11.64578,18.11091,12.80932,11.78949,3381,1128,0,208.176865671642,126.491044776119,281.15671641791,203.188805970149,130.00223880597,279.255223880597,199.286567164179,131.350746268657,277.34552238806,194.318656716418,133.276865671642,275.094029850746,262.019005223881,"c",14.6070820895523
"427","1129a",18.20813,12.43689,11.22567,18.18424,12.64967,11.53932,18.16812,12.73383,11.65929,18.17161,12.85187,11.81109,3385,1129,1,230.430597014925,142.319402985075,305.416417910448,225.708955223881,145.758955223881,297.747014925373,222.135820895522,149.029104477612,292.898507462687,219.233582089552,154.827611940299,286.548507462687,279.960847014925,"a",18.28216,12.63076,11.40206,18.26217,12.83291,11.68711,18.24435,12.90703,11.79153,18.25166,13.02398,11.93618,3385,1129,1,217.468656716418,141.057462686567,292.089552238806,213.29328358209,145.453731343284,290.190298507463,209.738805970149,147.058955223881,288.222388059701,204.822388059702,149.296268656716,286.041044776119,273.127757462687,"a",14.6181246268657
"428","1129b",18.19733,12.39285,11.19431,18.16762,12.59609,11.50495,18.14861,12.67693,11.62411,18.14823,12.79105,11.77479,3386,1129,2,229.624626865672,139.032835820896,303.076119402985,224.468656716418,141.760447761194,295.182089552239,220.679850746269,144.782835820895,290.273134328358,217.488805970149,150.288805970149,283.839552238806,277.43607761194,"b",18.26367,12.56336,11.35338,18.23561,12.75533,11.63572,18.21396,12.82607,11.73958,18.21583,12.93847,11.88289,3386,1129,2,216.088805970149,136.027611940299,288.45671641791,211.311194029851,139.664179104478,286.355223880597,207.470895522388,141.017164179104,284.34552238806,202.148507462687,142.914925373134,282.064179104478,269.355398507463,"b",20.1131268656716
"429","1129c",18.18893,12.35759,11.1695,18.15494,12.55381,11.47829,18.13382,12.63231,11.59706,18.13058,12.74357,11.74708,3384,1129,0,228.99776119403,136.401492537313,301.224626865672,223.522388059702,138.605223880597,293.192537313433,219.576119402985,141.452985074627,288.25447761194,216.171641791045,146.74552238806,281.771641791045,275.479293283582,"c",18.25434,12.52804,11.32822,18.22229,12.71485,11.60945,18.19874,12.7839,11.71311,18.19788,12.89394,11.85582,3384,1129,0,215.392537313433,133.391791044776,286.579104477612,210.317164179105,136.64328358209,284.394776119403,206.335074626866,137.870149253731,282.370149253731,200.808955223881,139.591791044776,280.044029850746,267.424211940299,"c",17.446430597015
