City,pop,violent,v_rate,property,p_rate,c_rate
Villa Park,"5,956",2,0.0003,87,0.0146,0.014942915
Visalia,"127,604",544,0.0043,"5,531",0.0433,0.047608225
Vista,"96,087",465,0.0048,"1,885",0.0196,0.024457003
Walnut,"29,658",37,0.0012,382,0.0129,0.014127723
Walnut Creek,"65,816",84,0.0013,"2,050",0.0311,0.032423727
Waterford,"8,604",31,0.0036,205,0.0238,0.027429103
Watsonville,"52,064",252,0.0048,"1,585",0.0304,0.035283497
Weed,"2,970",18,0.0061,125,0.0421,0.048148148
West Covina,"107,861",281,0.0026,"3,224",0.0299,0.032495527
West Hollywood,"34,971",338,0.0097,"1,642",0.0470,0.056618341
Westlake Village,"8,406",3,0.0004,154,0.0183,0.018677135
Westminster,"91,908",284,0.0031,"2,875",0.0313,0.034371328
Westmorland,"2,282",2,0.0009,9,0.0039,0.004820333
West Sacramento,"49,500",190,0.0038,"1,458",0.0295,0.033292929
Wheatland,"3,509",2,0.0006,36,0.0103,0.010829296
Whittier,"86,740",247,0.0028,"2,502",0.0288,0.031692414
Wildomar,"33,227",53,0.0016,707,0.0213,0.022872965
Williams,"5,200",9,0.0017,76,0.0146,0.016346154
Willits,"4,917",32,0.0065,71,0.0144,0.020947732
Willows,"6,223",26,0.0042,234,0.0376,0.041780492
Windsor,"27,293",67,0.0025,318,0.0117,0.014106181
Winters,"6,726",6,0.0009,84,0.0125,0.01338091
Woodlake,"7,466",48,0.0064,211,0.0283,0.034690597
Woodland,"56,323",177,0.0031,"1,735",0.0308,0.033947055
Yorba Linda,"65,820",53,0.0008,787,0.0120,0.012762078
Yountville,"2,984",7,0.0023,56,0.0188,0.021112601
Yreka,"7,768",42,0.0054,293,0.0377,0.043125644
Yuba City,"65,653",247,0.0038,"1,982",0.0302,0.033951228
Yucaipa,"52,622",119,0.0023,944,0.0179,0.020200677
Yucca Valley,"21,204",90,0.0042,560,0.0264,0.030654593
